Rank,Impact_Level,Video_ID,Current_Title,Optimized_Title,Current_Views,Current_Retention,Implementation_Date,Post_Views,Post_Retention,Improvement_Percent,Notes
38,RECOVERY,8SFf_8T5G6E,My First Time Playing Half Life Alyx Part 3,This VR Game Will BLOW Your Mind! 🤯 My First Time Playin... #vr #pcvr #gaming,6,13.82,,,,,
39,RECOVERY,FPsArC4f16c,Into the Radius 2 EA  - .13.1 Update  - Default Nightmare Difficulty - Deathless - Part 2,VR NIGHTMARE Mode! 😱 Into the Radius 2 v13.1 #intotheradius2 #vr #pcvr,6,2.15,,,,,
40,RECOVERY,ZKpXD87weqU,My First Time Playing Half Life Alyx Part 2,This VR Game Will BLOW Your Mind! 🤯 My First Time Playin... #vr #pcvr #gaming,6,15.079999999999998,,,,,
41,RECOVERY,bF-R3g2YCvI,Into the Radius 2 EA - 13 Ghost Town Update - Complete Playthrough - Part 6,The SCARIEST VR Game is BACK! 💀 Into the Radius 2 #intotheradius2 #vr,6,1.14,,,,,
42,RECOVERY,R6zrZImseuM,World War Z Gameplay Review,This VR Game Will BLOW Your Mind! 🤯 World War Z Gameplay... #vr #pcvr #gaming,5,37.17,,,,,
43,RECOVERY,KZc24oS62N0,Gorn 2 - Final Boss,EPIC VR Gladiator Returns! ⚔️ Gorn 2 Boss Battle #vr #gaming #pcvr #boss,4,0.49,,,,,
44,RECOVERY,sr3qSwk9-y0,Gorn 2 - Fourth Boss,EPIC VR Gladiator Returns! ⚔️ Gorn 2 Boss Battle #vr #gaming #pcvr #boss,4,2.91,,,,,
45,RECOVERY,vaW55Jq1Y4w,Into the Radius 2 EA  - .13.1 Update  - Default Nightmare Difficulty - Deathless - Part 1,VR NIGHTMARE Mode! 😱 Into the Radius 2 v13.1 #intotheradius2 #vr #pcvr,4,17.84,,,,,
46,RECOVERY,LPpZ-aj1a6w,Into the Radius - Scavenger Mod - Episode 2,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 2 #intotheradius2 #vr #pcvr,3,0.17,,,,,
47,RECOVERY,MoRjWIZzC1A,Into The Radius 2 - Early Access - .11 beta - Episode 4,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 4 #intotheradius2 #vr #pcvr,3,5.9,,,,,
48,RECOVERY,Yk2d4ORG_Zo,Into The Radius OG Part 3 - Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,3,4.57,,,,,
49,RECOVERY,cJW1a_dXvBM,Gorn 2 - Second and Third Boss,EPIC VR Gladiator Returns! ⚔️ Gorn 2 Boss Battle #vr #gaming #pcvr #boss,3,1.8000000000000005,,,,,
50,RECOVERY,cU4GU6KPW4g,Into the Radius - Scavenger Mod - Episode 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 1 #intotheradius2 #vr #pcvr,3,0.33,,,,,
51,RECOVERY,eSZvAPPVgMI,Into The Radius 2 - 7,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,3,33.34,,,,,
52,RECOVERY,v9TOdrokffY,Into The Radius 2 - 2,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,3,25.07,,,,,
53,RECOVERY,-4_dz3zSwtw,Skydance Behemoth Dredstagg - Episode 7,This VR Game Will BLOW Your Mind! 🤯 Skydance Behemoth Dr... #vr #pcvr #gaming,2,3.78,,,,,
54,RECOVERY,-bj0KevsW04,Into The Radius 2 - 24,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,2,48.78,,,,,
55,RECOVERY,5ZHffxKJA_k,Into The Radius 2 - 4,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,2,49.92,,,,,
56,RECOVERY,639mk5qZUVA,Into the Radius 2 - .13 beta 3 - Nightmare Difficulty,VR NIGHTMARE Mode! 😱 Into the Radius 2 #intotheradius2 #vr #pcvr,2,3.73,,,,,
57,RECOVERY,9feB0AaM6V0,Skydance Behemoth going to the Bat - Episode 3,This VR Game Will BLOW Your Mind! 🤯 Skydance Behemoth go... #vr #pcvr #gaming,2,2.05,,,,,
58,RECOVERY,Za9dtA3Rbok,Into the Radius OG Part 10 Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,2,48.39,,,,,
59,RECOVERY,ZeVihuX4VmQ,Into the Radius - Scavenger Mod - Episode 4,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 4 #intotheradius2 #vr #pcvr,2,0.28,,,,,
60,RECOVERY,_X3Q0AG0zbw,Into The Radius 2 - Early Access - 11 Beta 2 NEW - Episode 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 1 #intotheradius2 #vr #pcvr,2,2.13,,,,,
61,RECOVERY,aKtGtDLEEZ8,NOOB Plays Arizona Sunshine 2  - 1,This VR Game Will BLOW Your Mind! 🤯 NOOB Plays Arizona S... #vr #pcvr #gaming,2,2.42,,,,,
62,RECOVERY,eYt_b7mgtoM,My First Time Playing Half Life Alyx Finale - Ending Spoiler Alert,This VR Game Will BLOW Your Mind! 🤯 My First Time Playin... #vr #pcvr #gaming,2,0.2,,,,,
63,RECOVERY,fjw3_7IGUZk,Into the Radius Deathless Realistic - Episode 2,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,2,10.95,,,,,
64,RECOVERY,j2C330GfpB8,Into The Radius OG Part 2 - Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,2,39.91,,,,,
65,RECOVERY,m0BXazJ5cnw,Into the Radius 2 EA Enemy Count Very High,VR Enemy SWARM Mode! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,2,43.51,,,,,
66,RECOVERY,tTQuOCWB1lU,The Midnight Walk - Part 3,This VR Game Will BLOW Your Mind! 🤯 The Midnight Walk - ... #vr #pcvr #gaming,2,1.2,,,,,
67,RECOVERY,vOnQmh1UyF4,Into The Radius 2 - Early Access- 11 Beta 2 - Episode 2,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 2 #intotheradius2 #vr #pcvr,2,36.09,,,,,
68,RECOVERY,w7QiYx1kP4o,Frenzy Extinction Gameplay Episode 1,This VR Game Will BLOW Your Mind! 🤯 Frenzy Extinction Ga... #vr #pcvr #gaming,2,1.82,,,,,
69,RECOVERY,-2QJIgv4n6k,Into The Radius 2 - 29,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,91.18,,,,,
70,RECOVERY,0foOOI7fahU,Into the Radius Ironman Realistic - Episode 9,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.09,,,,,
71,RECOVERY,1V22T9fScUs,Into The Radius 2 EA v12.2 - 4 Missions,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 v12.2 #intotheradius2 #vr #pcvr,1,0.8100000000000002,,,,,
72,RECOVERY,1YPKuu0fMR4,Skydance Behemoth Nightscraper - Episode 4,This VR Game Will BLOW Your Mind! 🤯 Skydance Behemoth Ni... #vr #pcvr #gaming,1,5.61,,,,,
73,RECOVERY,1oK-kRtR-RI,Into the Radius 2 - .13 Beta 3 - Enemy Count Very High,VR Enemy SWARM Mode! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.12,,,,,
74,RECOVERY,2p5kTU9WMzw,Alien Rogue Incursion - Episode 1,This VR Game Will BLOW Your Mind! 🤯 Alien Rogue Incursio... #vr #pcvr #gaming,1,0.06,,,,,
75,RECOVERY,4CdUwG5EDCs,Into The Radius 2 - 25,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,1.34,,,,,
76,RECOVERY,4EZirhJY0_0,Into The Radius 2 - Early Access 11 beta - Episode 2,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 2 #intotheradius2 #vr #pcvr,1,8.17,,,,,
77,RECOVERY,5VuTKZ3-CC4,Into the Radius - Scavenger Mod - Episode 3,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 3 #intotheradius2 #vr #pcvr,1,0.51,,,,,
78,RECOVERY,7TcTjaKgrPU,Into The Radius 2 12 Beta 2 - Episode 6,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 6 #intotheradius2 #vr #pcvr,1,0.74,,,,,
79,RECOVERY,9D0txuIk5yc,My First Time Playing Half Life Alyx Part 5,This VR Game Will BLOW Your Mind! 🤯 My First Time Playin... #vr #pcvr #gaming,1,104.69,,,,,
80,RECOVERY,A-a2bJ_8ufE,Into the Radius Deathless Realistic - Episode 4,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.3,,,,,
81,RECOVERY,CNPT-pfm3Wo,Into The Radius OG Part 8   Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,65.46,,,,,
82,RECOVERY,FEUgPXZpR_Y,Into the Radius Deathless Realistic - Episode 3,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.12,,,,,
83,RECOVERY,FLQ3yOo3TSo,Batman Arkham Shadow - Episode 10,This VR Game Will BLOW Your Mind! 🤯 Batman Arkham Shadow... #vr #pcvr #gaming,1,9.46,,,,,
84,RECOVERY,IVhVSFky7q0,Into the Radius OG Part 9 Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,97.88,,,,,
85,RECOVERY,IzVsVNNFCXA,Into The Radius 2 EA 12 Beta - Episode 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 1 #intotheradius2 #vr #pcvr,1,0.98,,,,,
86,RECOVERY,J3jrTgahdG8,My First Time Playing Half Life Alyx Part 6,This VR Game Will BLOW Your Mind! 🤯 My First Time Playin... #vr #pcvr #gaming,1,36.47,,,,,
87,RECOVERY,KMSOP24XOlU,Into the Radius Ironman Realistic 2nd Attempt - Episode 1,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.24,,,,,
88,RECOVERY,Krgtgwn3oNI,Into The Radius 2 EA 12 Beta - Episode 5,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 5 #intotheradius2 #vr #pcvr,1,96.2,,,,,
89,RECOVERY,LttV_Rz_rtQ,Into The Radius 2 - 6,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,1.58,,,,,
90,RECOVERY,M2oSUYTN6eQ,Metro Awakening Episode 6,This VR Game Will BLOW Your Mind! 🤯 Metro Awakening Epis... #vr #pcvr #gaming,1,33.51,,,,,
91,RECOVERY,MBGwSfM47Jg,Into The Radius 2 - Early Access - 11 beta - Episode 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 1 #intotheradius2 #vr #pcvr,1,27.0,,,,,
92,RECOVERY,S4qhj2gp4xY,Into The Radius 2 - 12,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,1.48,,,,,
93,RECOVERY,UZ9lwwPeAt0,Into The Radius 2 EA Enemy Count High Again,VR Enemy SWARM Mode! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.77,,,,,
94,RECOVERY,YAbGpLinDM8,Escaping Wonderland Episode 3 Tweedle Twins,VR Wonderland NIGHTMARE! 🐰 Escaping Wonderland Episode 3 #vr #pcvr #puzzle,1,0.73,,,,,
95,RECOVERY,ZVAwdAb2tH0,Into The Radius 2 - 8,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,99.64,,,,,
96,RECOVERY,_3O96HGYMkE,Into the Radius - Ironman Realistic - Kids Playground,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.13,,,,,
97,RECOVERY,_d2qhZEFJ64,Arizona Sunshine Remake Final Episode,This VR Game Will BLOW Your Mind! 🤯 Arizona Sunshine Rem... #vr #pcvr #gaming,1,0.33,,,,,
98,RECOVERY,caI6SD5jokY,Into The Radius 2 - 16,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,30.96,,,,,
99,RECOVERY,fANxU0Tl-FY,Into the Radius 2 - .13 Beta 3 - Clearing the town,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 #intotheradius2 #vr #pcvr,1,1.08,,,,,
100,RECOVERY,nhZiJH_bXxM,Into The Radius 2 - .12 Beta 2 - Post SL 3 - Episode 1,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 1 #intotheradius2 #vr #pcvr,1,1.46,,,,,
101,RECOVERY,oJpUXMACI6k,Into The Radius OG Part 4 - Realistic Ironman,VR REALISM at its FINEST! 🎯 Into the Radius 2 #intotheradius2 #vr #pcvr,1,0.02,,,,,
102,RECOVERY,oewUFChqkQk,Into The Radius 2 EA 12 Beta - Episode 6,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 6 #intotheradius2 #vr #pcvr,1,73.66,,,,,
103,RECOVERY,stfSjwZEBeo,Into the Radius - Scavenger Mod - Episode 12,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 12 #intotheradius2 #vr #pcvr,1,2.05,,,,,
104,RECOVERY,wu0Lgt8fkzo,Into The Radius 2 - Early Access - 11 beta - Episode 3,PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Episode 3 #intotheradius2 #vr #pcvr,1,38.73,,,,,
105,RECOVERY,xm1XhLnzcdk,Into The Radius 2 - 9 (Part  1),PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Part 1 #intotheradius2 #vr #pcvr,1,88.58,,,,,
106,RECOVERY,y-CxGT4Iuks,Skydance Behemoth Shacklehide - Episode 1,This VR Game Will BLOW Your Mind! 🤯 Skydance Behemoth Sh... #vr #pcvr #gaming,1,0.08,,,,,
107,RECOVERY,y8fW1pV_03c,Into The Radius 2 - 9 (Part 2),PHOTOREALISTIC VR Coop! 🔥 Into the Radius 2 Part 2 #intotheradius2 #vr #pcvr,1,48.94,,,,,
108,RECOVERY,zE3JAODPhPU,Skydance Behemoth Finale (Part 1) Episode 8,This VR Game Will BLOW Your Mind! 🤯 Skydance Behemoth Fi... #vr #pcvr #gaming,1,0.36,,,,,
109,RECOVERY,et9nSj-CxnY,Escaping Wonderland Episode 1 Weed Plant,VR Wonderland NIGHTMARE! 🐰 Escaping Wonderland Episode 1 #vr #pcvr #puzzle,0,0.0,,,,,
